Tanggal,ff_avg,ff_x
14-07-2022,2,3
15-07-2022,2,3
16-07-2022,2,5
17-07-2022,3,5
18-07-2022,2,3
19-07-2022,3,6
20-07-2022,2,3
21-07-2022,3,4
22-07-2022,3,4
23-07-2022,3,3
24-07-2022,3,3
25-07-2022,2,4
26-07-2022,3,6
27-07-2022,3,4
28-07-2022,2,2
29-07-2022,3,6
30-07-2022,5,10
31-07-2022,2,3
01-08-2022,3,5
02-08-2022,4,10
03-08-2022,3,7
04-08-2022,5,8
05-08-2022,4,5
06-08-2022,3,3
07-08-2022,2,4
08-08-2022,3,7
09-08-2022,3,3
10-08-2022,3,4
11-08-2022,2,4
12-08-2022,3,4
13-08-2022,3,5
14-08-2022,3,4
15-08-2022,2,3
16-08-2022,3,5
17-08-2022,2,2
18-08-2022,3,4
19-08-2022,3,4
20-08-2022,3,5
21-08-2022,3,11
22-08-2022,3,5
23-08-2022,3,4
24-08-2022,3,4
25-08-2022,3,7
26-08-2022,3,4
27-08-2022,2,4
28-08-2022,3,3
29-08-2022,4,5
30-08-2022,3,5
31-08-2022,2,3
01-09-2022,3,3
02-09-2022,5,7
03-09-2022,4,13
04-09-2022,2,3
05-09-2022,3,6
06-09-2022,4,6
07-09-2022,3,4
08-09-2022,3,4
09-09-2022,3,4
10-09-2022,3,5
11-09-2022,3,3
12-09-2022,3,3
13-09-2022,4,7
14-09-2022,3,6
15-09-2022,3,4
16-09-2022,3,3
17-09-2022,2,4
18-09-2022,3,6
19-09-2022,3,3
20-09-2022,4,5
21-09-2022,3,5
22-09-2022,5,12
23-09-2022,3,5
24-09-2022,4,5
25-09-2022,4,11
26-09-2022,2,3
27-09-2022,4,6
28-09-2022,4,5
29-09-2022,3,6
30-09-2022,2,5
01-10-2022,3,4
02-10-2022,2,6
03-10-2022,2,3
04-10-2022,2,4
05-10-2022,2,5
06-10-2022,2,3
07-10-2022,3,4
08-10-2022,4,5
09-10-2022,3,3
10-10-2022,3,10
11-10-2022,3,3
12-10-2022,4,6
13-10-2022,3,5
14-10-2022,2,3
15-10-2022,3,4
16-10-2022,4,5
17-10-2022,3,8
18-10-2022,3,4
19-10-2022,2,3
20-10-2022,3,6
21-10-2022,3,4
22-10-2022,3,5
23-10-2022,3,11
24-10-2022,7,13
25-10-2022,4,10
26-10-2022,2,4
27-10-2022,3,6
28-10-2022,4,6
29-10-2022,3,3
30-10-2022,3,5
31-10-2022,3,10
01-11-2022,2,4
02-11-2022,2,2
03-11-2022,2,3
04-11-2022,2,5
05-11-2022,3,4
06-11-2022,2,4
07-11-2022,2,9
08-11-2022,2,6
09-11-2022,3,5
10-11-2022,1,4
11-11-2022,2,3
12-11-2022,2,2
13-11-2022,2,3
14-11-2022,3,3
15-11-2022,2,5
16-11-2022,3,6
17-11-2022,3,7
18-11-2022,3,4
19-11-2022,3,4
20-11-2022,2,4
21-11-2022,2,3
22-11-2022,3,5
23-11-2022,4,6
24-11-2022,3,3
25-11-2022,3,4
26-11-2022,3,5
27-11-2022,3,4
28-11-2022,2,3
29-11-2022,2,3
30-11-2022,2,3
01-12-2022,2,3
02-12-2022,3,3
03-12-2022,3,3
04-12-2022,3,4
05-12-2022,2,3
06-12-2022,2,4
07-12-2022,3,10
08-12-2022,2,3
09-12-2022,2,3
10-12-2022,2,3
11-12-2022,2,3
12-12-2022,3,3
13-12-2022,3,4
14-12-2022,2,3
15-12-2022,2,2
16-12-2022,2,4
17-12-2022,2,3
18-12-2022,3,4
19-12-2022,2,4
20-12-2022,2,5
21-12-2022,3,4
22-12-2022,5,6
23-12-2022,4,5
24-12-2022,3,6
25-12-2022,5,7
26-12-2022,5,6
27-12-2022,4,4
28-12-2022,6,12
29-12-2022,7,10
30-12-2022,7,10
31-12-2022,7,9
